,pos,country_code,iso_code,country,year,gdlcode,region,iwi,edyr,edyr_fem,edyr_male,urban,wrk_agr,wrk_lnagr,wrk_unagr,tv,phone,electr,small_house,large_house,qual_floor,bad_floor,tap_water,bad_water,flush_toilet,bad_toilet,age09,age1019,age2029,age3039,age4049,age5059,age6069,age7079,age8089,age90hi,N,Nhh,sdr_id,sdr_name,sdr_level
16,18,GN,GIN,Guinea,2012,GINr101,Boke,36.3,3.4,2.2,4.7,34.2,,29.8,6.4,25.3,68.1,21.1,8.5,70.7,4.2,50.4,25.8,29.7,21.6,64.1,31.2,24.5,12.7,8.7,6.9,8.1,4.5,2.5,0.8,0.1,,,1,Boke,ADM1
17,19,GN,GIN,Guinea,2012,GINr102,Conakry,72.6,7.3,5.7,9.0,100.0,,73.2,23.1,85.2,97.6,94.0,12.7,56.8,33.0,5.1,84.7,0.9,62.5,8.9,25.3,26.4,19.8,11.0,6.8,5.7,3.5,1.1,0.4,0.1,,,2,Conakry,ADM1
18,20,GN,GIN,Guinea,2012,GINr103,Faranah,26.3,1.8,0.8,3.1,19.4,,27.9,3,9.4,48.5,8.2,7.3,70.3,1.3,61.9,3.2,22.9,4.2,74.9,35.2,25.3,11.0,9.0,7.9,5.9,3.9,1.3,0.4,0.1,,,3,Faranah,ADM1
19,21,GN,GIN,Guinea,2012,GINr104,Kankan,31.0,1.5,0.7,2.4,13.7,,20.6,3,15.6,63.1,9.4,6.1,74.3,1.6,66.4,8.0,19.6,1.9,71.3,36.5,23.8,12.0,9.4,7.0,5.6,3.6,1.5,0.5,0.1,,,4,Kankan,ADM1
20,22,GN,GIN,Guinea,2012,GINr105,Kindia,34.1,2.7,1.7,3.9,23.1,,36.8,5,25.6,64.3,24.7,9.9,73.1,7.4,47.3,11.1,46.5,17.5,58.0,34.2,23.2,12.5,9.6,6.6,6.0,4.4,2.5,0.7,0.2,,,5,Kindia,ADM1
21,23,GN,GIN,Guinea,2012,GINr106,Labe,26.2,1.7,1.1,2.9,5.4,,55.6,3.6,7.3,66.3,5.4,15.5,56.5,2.4,51.3,2.0,39.3,4.5,65.2,34.0,21.5,9.6,8.4,7.1,7.5,6.7,3.2,1.8,0.2,,,6,Labe,ADM1
22,24,GN,GIN,Guinea,2012,GINr107,Mamou,28.4,1.5,0.9,2.8,9.0,,34.1,1.8,10.3,69.9,10.1,13.8,56.8,3.6,41.1,4.1,49.2,7.8,69.0,33.4,21.7,9.3,8.0,8.0,8.3,5.7,3.7,1.4,0.3,,,7,Mamou,ADM1
23,25,GN,GIN,Guinea,2012,GINr108,N Zerekore,28.0,2.9,1.5,4.5,14.9,,22.3,5.6,8.1,57.3,4.9,6.4,73.7,2.7,48.7,2.1,17.1,3.4,62.2,34.1,23.9,12.9,9.6,7.4,5.5,4.1,1.8,0.5,0.1,,,0,,
24,26,GM,GMB,Gambia,2006,GMBt,Total,44.4,4.3,3.1,5.6,38.9,, , ,44.2,22.6,25.8,5.8,77.8,11.5,25.6,21.9,12.2,17.1,15.5,30.4,24.8,16.1,10.7,6.9,5.9,3.1,1.5,0.6,0.1,,,0,,
25,27,GM,GMB,Gambia,2006,GMBtr,Rural,35.3,3.1,2.0,4.4,0.0,, , ,31.3,14.2,8.0,2.6,85.9,4.5,37.4,4.4,18.3,4.2,21.1,32.7,25.2,13.8,9.3,6.5,6.2,3.5,1.7,0.7,0.2,,,0,,
26,28,GM,GMB,Gambia,2006,GMBtu,Urban,59.6,5.8,4.6,6.9,100.0,, , ,65.7,36.5,55.5,11.2,64.3,23.3,5.7,51.3,1.9,38.6,6.0,26.7,24.0,19.7,12.8,7.5,5.3,2.5,1.0,0.4,0.1,,,0,,
27,29,GM,GMB,Gambia,2006,GMBr101,Banjul,69.8,6.3,5.8,6.7,100.0,, , ,73.3,50.6,83.8,22.6,51.9,23.5,1.0,78.8,0.0,75.8,2.2,24.1,22.0,20.9,14.3,7.8,6.0,3.2,1.4,0.2,0.2,,,0,,
28,30,GM,GMB,Gambia,2006,GMBr102,Kanifing,64.1,6.1,4.9,7.2,100.0,, , ,71.6,38.0,63.8,11.4,62.4,27.3,3.8,60.2,1.2,46.0,3.5,26.4,23.5,20.7,13.5,7.4,4.9,2.2,1.0,0.4,0.1,,,0,,
29,31,GM,GMB,Gambia,2006,GMBr103,Brikama,41.8,4.6,3.2,6.0,13.6,, , ,48.2,14.5,15.9,4.9,79.9,7.9,22.4,12.9,19.7,8.8,4.9,29.5,25.4,16.1,10.7,6.7,5.9,3.4,1.4,0.8,0.2,,,0,,
30,32,GM,GMB,Gambia,2006,GMBr104,Mansakonko,34.6,4.1,2.3,6.7,28.7,, , ,33.2,26.3,10.8,1.8,85.7,8.1,37.5,2.9,17.9,7.2,34.7,32.3,28.7,12.5,7.2,5.8,6.9,3.7,1.9,0.8,0.2,,,0,,
31,33,GM,GMB,Gambia,2006,GMBr105,Kerewan,31.7,2.1,1.3,3.1,20.8,, , ,23.3,7.6,6.3,3.4,75.0,12.9,40.1,5.1,10.8,4.8,12.9,33.4,24.7,12.3,9.0,7.7,6.7,3.6,1.8,0.6,0.2,,,0,,
